address,lat,lng
DHL Morelos,19.28827,-99.64114
Estadio Nemesio Diez,19.28784,-99.6667
Casart,19.28397,-99.63818
Teatro Morelos,19.29268,-99.65929
Museo-Taller Luis Nishizawa ,19.29355,-99.65779
Edificio Central de la UAEM ,19.28536,-99.65346
Sala Felipe Villanueva,19.2882,-99.66263
Catedral de Toluca ,19.29203,-99.65715
Secretari'a de Relaciones Exteriores ,19.28872,-99.67674
DHL Morelos,19.28827,-99.64114
